tick,semantic_success_rate,lexicon_divergence,misaction_rate,repair_count,condition
0,0.98515,0.8789127667529537,0.1485,0.0,repair_enabled
1,0.985625,0.8789127667529537,0.14375,0.0,repair_enabled
2,0.984675,0.8788644092928262,0.15325,0.0,repair_enabled
3,0.9853999999999999,0.8786455147159836,0.146,0.0,repair_enabled
4,0.9849249999999999,0.8778626849196316,0.15075,0.0,repair_enabled
5,0.9848,0.8756876440979039,0.15200000000000002,0.0,repair_enabled
6,0.984425,0.8710602454605172,0.15575,0.0,repair_enabled
7,0.9854999999999999,0.8634104860491085,0.145,0.0,repair_enabled
8,0.98465,0.8544477064056584,0.1535,0.0,repair_enabled
9,0.9849249999999999,0.8439479098497542,0.15075000000000002,0.0,repair_enabled
10,0.9859,0.833232585772659,0.141,0.0,repair_enabled
11,0.985825,0.8222664196417255,0.14175000000000001,0.0,repair_enabled
12,0.9839749999999999,0.8146085177079407,0.16024999999999998,0.0,repair_enabled
13,0.985425,0.8065623339041957,0.14575000000000002,0.0,repair_enabled
14,0.98415,0.801333202495397,0.1585,0.0,repair_enabled
15,0.9859749999999999,0.7969400431591238,0.14025,0.0,repair_enabled
16,0.9843500000000001,0.7935693489263653,0.1565,0.0,repair_enabled
17,0.98515,0.7915863833358047,0.1485,0.0,repair_enabled
18,0.985475,0.7897834609591793,0.14525,0.0,repair_enabled
19,0.98545,0.7887937080729768,0.14550000000000002,0.0,repair_enabled
20,0.984725,0.7879024729900062,0.15275,0.0,repair_enabled
21,0.9848,0.7874304108052556,0.152,0.0,repair_enabled
22,0.9852500000000001,0.7871007403860938,0.1475,0.0,repair_enabled
23,0.9859,0.786804862696238,0.141,0.0,repair_enabled
24,0.9847,0.786804862696238,0.153,0.0,repair_enabled
25,0.984375,0.7866971883580899,0.15625,0.0,repair_enabled
26,0.9850249999999999,0.7864859940293047,0.14975,0.0,repair_enabled
27,0.986075,0.7864505386045039,0.13925,0.0,repair_enabled
28,0.9849249999999999,0.7863994107849551,0.15075000000000002,0.0,repair_enabled
29,0.9851000000000001,0.78636660833199,0.149,0.0,repair_enabled
30,0.9845,0.7863285643584197,0.155,0.0,repair_enabled
31,0.9845999999999999,0.7862853293770269,0.154,0.0,repair_enabled
32,0.9859749999999999,0.7862853293770269,0.14025,0.0,repair_enabled
33,0.9858499999999999,0.7862853293770269,0.14150000000000001,0.0,repair_enabled
34,0.9848,0.7862403817807635,0.152,0.0,repair_enabled
35,0.9848250000000001,0.7862403817807635,0.15175,0.0,repair_enabled
36,0.9858,0.7862403817807635,0.142,0.0,repair_enabled
37,0.9853000000000001,0.7862403817807635,0.147,0.0,repair_enabled
38,0.985525,0.7862403817807635,0.14475,0.0,repair_enabled
39,0.985525,0.7862403817807635,0.14475,0.0,repair_enabled
40,0.98465,0.7862403817807635,0.1535,0.0,repair_enabled
41,0.9852249999999999,0.7862403817807635,0.14775,0.0,repair_enabled
42,0.9843999999999999,0.7862403817807635,0.156,0.0,repair_enabled
43,0.9848,0.7862403817807635,0.15200000000000002,0.0,repair_enabled
44,0.985325,0.7862403817807635,0.14675000000000002,0.0,repair_enabled
45,0.9847,0.7862403817807635,0.153,0.0,repair_enabled
46,0.9848,0.7862403817807635,0.15200000000000002,0.0,repair_enabled
47,0.98515,0.7862403817807635,0.1485,0.0,repair_enabled
48,0.9854999999999999,0.7862403817807635,0.145,0.0,repair_enabled
49,0.985275,0.7862403817807635,0.14725,0.0,repair_enabled
50,0.9852249999999999,0.7862403817807635,0.14775,0.0,repair_enabled
51,0.985525,0.7862403817807635,0.14475,0.0,repair_enabled
52,0.985175,0.7862403817807635,0.14825,0.0,repair_enabled
53,0.98455,0.7862403817807635,0.1545,0.0,repair_enabled
54,0.98575,0.7862403817807635,0.1425,0.0,repair_enabled
55,0.9852500000000001,0.7862403817807635,0.1475,0.0,repair_enabled
56,0.9843999999999999,0.7862403817807635,0.156,0.0,repair_enabled
57,0.984675,0.7862403817807635,0.15325,0.0,repair_enabled
58,0.984575,0.7862403817807635,0.15425,0.0,repair_enabled
59,0.984675,0.7862403817807635,0.15325,0.0,repair_enabled
60,0.985125,0.7862403817807635,0.14875,0.0,repair_enabled
61,0.9853749999999999,0.7862403817807635,0.14625,0.0,repair_enabled
62,0.985175,0.7862403817807635,0.14825000000000002,0.0,repair_enabled
63,0.98575,0.7862403817807635,0.1425,0.0,repair_enabled
64,0.9843500000000001,0.7862403817807635,0.1565,0.0,repair_enabled
65,0.9848,0.7862403817807635,0.15200000000000002,0.0,repair_enabled
66,0.984525,0.7862403817807635,0.15475,0.0,repair_enabled
67,0.985625,0.7862403817807635,0.14375,0.0,repair_enabled
68,0.985925,0.7862403817807635,0.14075000000000001,0.0,repair_enabled
69,0.98575,0.7862403817807635,0.1425,0.0,repair_enabled
70,0.985425,0.7862403817807635,0.14575,0.0,repair_enabled
71,0.9849249999999999,0.7862403817807635,0.15075,0.0,repair_enabled
72,0.9856,0.7862403817807635,0.14400000000000002,0.0,repair_enabled
73,0.984725,0.7862403817807635,0.15275,0.0,repair_enabled
74,0.9850249999999999,0.7862403817807635,0.14975,0.0,repair_enabled
75,0.9845999999999999,0.7862403817807635,0.154,0.0,repair_enabled
76,0.985825,0.7862403817807635,0.14175000000000001,0.0,repair_enabled
77,0.986,0.7862403817807635,0.14,0.0,repair_enabled
78,0.9839,0.7862403817807635,0.161,0.0,repair_enabled
79,0.986075,0.7862403817807635,0.13925,0.0,repair_enabled
80,0.984225,0.7862403817807635,0.15775,0.0,repair_enabled
81,0.984075,0.7862403817807635,0.15925,0.0,repair_enabled
82,0.9858,0.7862403817807635,0.142,0.0,repair_enabled
83,0.9854999999999999,0.7862403817807635,0.145,0.0,repair_enabled
84,0.9853999999999999,0.7862403817807635,0.146,0.0,repair_enabled
85,0.98485,0.7862403817807635,0.1515,0.0,repair_enabled
86,0.985925,0.7862403817807635,0.14075000000000001,0.0,repair_enabled
87,0.985275,0.7862403817807635,0.14725,0.0,repair_enabled
88,0.983875,0.7862403817807635,0.16125,0.0,repair_enabled
89,0.9846250000000001,0.7862403817807635,0.15375,0.0,repair_enabled
90,0.9854999999999999,0.7862403817807635,0.145,0.0,repair_enabled
91,0.9850749999999999,0.7862403817807635,0.14925,0.0,repair_enabled
92,0.985,0.7862403817807635,0.15,0.0,repair_enabled
93,0.985125,0.7862403817807635,0.14875,0.0,repair_enabled
94,0.9853999999999999,0.7862403817807635,0.146,0.0,repair_enabled
95,0.98515,0.7862403817807635,0.1485,0.0,repair_enabled
96,0.9852500000000001,0.7862403817807635,0.1475,0.0,repair_enabled
97,0.98375,0.7862403817807635,0.1625,0.0,repair_enabled
98,0.985825,0.7862403817807635,0.14175000000000001,0.0,repair_enabled
99,0.9852500000000001,0.7862403817807635,0.1475,0.0,repair_enabled
