target,condition,metric,fresh,pretrained,delta,ci_low,ci_high,p,d
logic,hardcoded_compatibility,first_task_success_tick,11.805,10.99,-0.815,-1.869768,0.239768,0.12991,-0.107088
logic,hardcoded_compatibility,task_completion_rate,0.525,0.46,-0.065,-0.161339,0.031339,0.186029,-0.093509
logic,hardcoded_compatibility,contradictions,1.0,1.06,0.06,-0.118818,0.238818,0.510763,0.046503
logic,hardcoded_compatibility,reward,2.68695,2.50045,-0.1865,-0.615253,0.242253,0.3939,-0.060285
logic,hardcoded_compatibility,invalid_actions,1.705,1.765,0.06,-0.183697,0.303697,0.629404,0.034123
logic,hardcoded_compatibility,final_energy,97.31795,141.83895,44.521,42.78706,46.25494,0.0,3.558541
logic,hardcoded_compatibility,prediction_error,0.376773,0.354622,-0.022151,-0.079719,0.035416,0.450733,-0.05333
logic,hardcoded_compatibility,transfer_uses,2.535,23.37,20.835,19.962238,21.707762,0.0,3.308558
logic,hardcoded_compatibility,transfer_strength,9.94,28.608382,18.668382,15.758856,21.577908,0.0,0.889253
logic,hardcoded_compatibility,transfer_precision,0.453749,0.847371,0.393622,0.330199,0.457046,0.0,0.860145
logic,hardcoded_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,hardcoded_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,hardcoded_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,learned_compatibility,first_task_success_tick,11.805,9.0,-2.805,-3.832476,-1.777524,0.0,-0.378358
logic,learned_compatibility,task_completion_rate,0.525,0.61,0.085,-0.009006,0.179006,0.076357,0.125315
logic,learned_compatibility,contradictions,1.0,1.06,0.06,-0.117192,0.237192,0.50689,0.04693
logic,learned_compatibility,reward,2.68695,3.166,0.47905,0.060476,0.897624,0.024885,0.158617
logic,learned_compatibility,invalid_actions,1.705,1.755,0.05,-0.191353,0.291353,0.68471,0.028712
logic,learned_compatibility,final_energy,97.31795,141.956,44.63805,42.95755,46.31855,0.0,3.681355
logic,learned_compatibility,prediction_error,0.376773,0.444271,0.067497,0.011159,0.123836,0.018863,0.166045
logic,learned_compatibility,transfer_uses,2.535,24.525,21.99,21.099804,22.880196,0.0,3.423582
logic,learned_compatibility,transfer_strength,10.09841,38.7385,28.640089,24.866055,32.414124,0.0,1.051743
logic,learned_compatibility,transfer_precision,0.453749,0.845,0.391251,0.327926,0.454576,0.0,0.856286
logic,learned_compatibility,learned_table_size,0.0,3.485,3.485,3.38198,3.58802,0.0,4.688369
logic,learned_compatibility,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
logic,learned_compatibility,learned_mean_score,0.0,0.347117,0.347117,0.32762,0.366615,0.0,2.467407
logic,learned_plus_hardcoded,first_task_success_tick,11.805,10.615,-1.19,-2.244339,-0.135661,0.026953,-0.156426
logic,learned_plus_hardcoded,task_completion_rate,0.525,0.5,-0.025,-0.120695,0.070695,0.608622,-0.036207
logic,learned_plus_hardcoded,contradictions,1.0,1.045,0.045,-0.133633,0.223633,0.621484,0.034913
logic,learned_plus_hardcoded,reward,2.68695,2.66645,-0.0205,-0.448789,0.407789,0.925256,-0.006634
logic,learned_plus_hardcoded,invalid_actions,1.705,1.755,0.05,-0.19255,0.29255,0.686183,0.02857
logic,learned_plus_hardcoded,final_energy,97.31795,141.89895,44.581,42.869584,46.292416,0.0,3.610234
logic,learned_plus_hardcoded,prediction_error,0.376773,0.376574,-0.000199,-0.057446,0.057047,0.994554,-0.000483
logic,learned_plus_hardcoded,transfer_uses,2.535,23.725,21.19,20.299327,22.080673,0.0,3.297265
logic,learned_plus_hardcoded,transfer_strength,10.019205,31.831897,21.812692,18.464495,25.160889,0.0,0.902899
logic,learned_plus_hardcoded,transfer_precision,0.453749,0.849667,0.395918,0.332869,0.458966,0.0,0.870298
logic,learned_plus_hardcoded,learned_table_size,0.0,3.46,3.46,3.357109,3.562891,0.0,4.660569
logic,learned_plus_hardcoded,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
logic,learned_plus_hardcoded,learned_mean_score,0.0,0.351631,0.351631,0.331717,0.371545,0.0,2.447227
logic,random_compatibility,first_task_success_tick,11.805,9.775,-2.03,-3.078787,-0.981213,0.000148,-0.268256
logic,random_compatibility,task_completion_rate,0.525,0.57,0.045,-0.053538,0.143538,0.37074,0.063292
logic,random_compatibility,contradictions,1.015,1.2,0.185,-0.00041,0.37041,0.050505,0.138286
logic,random_compatibility,reward,2.6723,2.92745,0.25515,-0.183035,0.693335,0.253752,0.080701
logic,random_compatibility,invalid_actions,1.72,1.925,0.205,-0.038562,0.448562,0.099007,0.11665
logic,random_compatibility,final_energy,97.3188,141.15945,43.84065,42.169594,45.511706,0.0,3.636026
logic,random_compatibility,prediction_error,0.374367,0.429804,0.055437,-0.002638,0.113512,0.06135,0.132297
logic,random_compatibility,transfer_uses,2.535,24.21,21.675,20.798248,22.551752,0.0,3.426285
logic,random_compatibility,transfer_strength,24.490501,88.656622,64.16612,57.029868,71.302373,0.0,1.246168
logic,random_compatibility,transfer_precision,0.450713,0.831667,0.380954,0.318666,0.443242,0.0,0.847636
logic,random_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,random_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,random_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,no_compatibility,first_task_success_tick,11.805,10.085,-1.72,-2.786605,-0.653395,0.001574,-0.223494
logic,no_compatibility,task_completion_rate,0.525,0.545,0.02,-0.078207,0.118207,0.689777,0.028225
logic,no_compatibility,contradictions,1.0,1.055,0.055,-0.122495,0.232495,0.543625,0.042945
logic,no_compatibility,reward,2.68695,2.8598,0.17285,-0.26798,0.61368,0.442179,0.054342
logic,no_compatibility,invalid_actions,1.705,1.755,0.05,-0.190953,0.290953,0.684215,0.028759
logic,no_compatibility,final_energy,97.31795,141.3068,43.98885,42.309846,45.667854,0.0,3.631048
logic,no_compatibility,prediction_error,0.376773,0.400932,0.024158,-0.033943,0.08226,0.415092,0.057627
logic,no_compatibility,transfer_uses,2.535,23.865,21.33,20.434817,22.225183,0.0,3.302329
logic,no_compatibility,transfer_strength,9.94,25.194329,15.254329,11.995004,18.513653,0.0,0.648644
logic,no_compatibility,transfer_precision,0.453749,0.790172,0.336423,0.264345,0.408502,0.0,0.646875
logic,no_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,no_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
logic,no_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,hardcoded_compatibility,first_task_success_tick,9.085,8.29,-0.795,-1.817541,0.227541,0.127546,-0.107753
rules,hardcoded_compatibility,task_completion_rate,0.75,0.745,-0.005,-0.091208,0.081208,0.909492,-0.008038
rules,hardcoded_compatibility,contradictions,1.705,1.885,0.18,-0.09289,0.45289,0.196071,0.091417
rules,hardcoded_compatibility,reward,3.34075,3.32145,-0.0193,-0.373205,0.334605,0.914878,-0.007558
rules,hardcoded_compatibility,invalid_actions,1.705,1.885,0.18,-0.09289,0.45289,0.196071,0.091417
rules,hardcoded_compatibility,final_energy,93.96525,138.16995,44.2047,42.331477,46.077923,0.0,3.270544
rules,hardcoded_compatibility,prediction_error,0.761141,0.771275,0.010134,-0.063268,0.083537,0.786691,0.019135
rules,hardcoded_compatibility,transfer_uses,5.28,24.7,19.42,18.47998,20.36002,0.0,2.86321
rules,hardcoded_compatibility,transfer_strength,11.91528,27.583234,15.667954,13.51821,17.817699,0.0,1.010105
rules,hardcoded_compatibility,transfer_precision,0.797253,0.8718,0.074547,0.032061,0.117034,0.000584,0.243177
rules,hardcoded_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,hardcoded_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,hardcoded_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,learned_compatibility,first_task_success_tick,9.085,9.735,0.65,-0.437006,1.737006,0.241186,0.082875
rules,learned_compatibility,task_completion_rate,0.75,0.685,-0.065,-0.156192,0.026192,0.162396,-0.098787
rules,learned_compatibility,contradictions,1.705,1.745,0.04,-0.235032,0.315032,0.7756,0.020157
rules,learned_compatibility,reward,3.34075,3.06775,-0.273,-0.647015,0.101015,0.152535,-0.101161
rules,learned_compatibility,invalid_actions,1.705,1.745,0.04,-0.235032,0.315032,0.7756,0.020157
rules,learned_compatibility,final_energy,93.96525,138.17575,44.2105,42.409968,46.011032,0.0,3.403029
rules,learned_compatibility,prediction_error,0.761141,0.701448,-0.059692,-0.138777,0.019393,0.139038,-0.104608
rules,learned_compatibility,transfer_uses,5.28,25.215,19.935,19.038851,20.831149,0.0,3.083025
rules,learned_compatibility,transfer_strength,11.95996,22.986089,11.026129,8.820716,13.231541,0.0,0.692906
rules,learned_compatibility,transfer_precision,0.801163,0.883476,0.082313,0.040226,0.1244,0.000126,0.27106
rules,learned_compatibility,learned_table_size,0.0,3.485,3.485,3.38198,3.58802,0.0,4.688369
rules,learned_compatibility,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
rules,learned_compatibility,learned_mean_score,0.0,0.347117,0.347117,0.32762,0.366615,0.0,2.467407
rules,learned_plus_hardcoded,first_task_success_tick,9.085,9.735,0.65,-0.437006,1.737006,0.241186,0.082875
rules,learned_plus_hardcoded,task_completion_rate,0.75,0.685,-0.065,-0.156192,0.026192,0.162396,-0.098787
rules,learned_plus_hardcoded,contradictions,1.705,1.745,0.04,-0.235032,0.315032,0.7756,0.020157
rules,learned_plus_hardcoded,reward,3.34075,3.06775,-0.273,-0.646949,0.100949,0.152462,-0.101179
rules,learned_plus_hardcoded,invalid_actions,1.705,1.745,0.04,-0.235032,0.315032,0.7756,0.020157
rules,learned_plus_hardcoded,final_energy,93.96525,138.42475,44.4595,42.61887,46.30013,0.0,3.347643
rules,learned_plus_hardcoded,prediction_error,0.761141,0.701944,-0.059197,-0.138196,0.019802,0.141916,-0.103852
rules,learned_plus_hardcoded,transfer_uses,5.28,25.23,19.95,19.053994,20.846006,0.0,3.085837
rules,learned_plus_hardcoded,transfer_strength,11.93762,25.334266,13.396646,11.283326,15.509966,0.0,0.878561
rules,learned_plus_hardcoded,transfer_precision,0.801163,0.883667,0.082504,0.040436,0.124571,0.000121,0.271813
rules,learned_plus_hardcoded,learned_table_size,0.0,3.46,3.46,3.357109,3.562891,0.0,4.660569
rules,learned_plus_hardcoded,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
rules,learned_plus_hardcoded,learned_mean_score,0.0,0.351631,0.351631,0.331717,0.371545,0.0,2.447227
rules,random_compatibility,first_task_success_tick,9.085,8.875,-0.21,-1.28709,0.86709,0.702357,-0.027021
rules,random_compatibility,task_completion_rate,0.75,0.71,-0.04,-0.128792,0.048792,0.377255,-0.062435
rules,random_compatibility,contradictions,1.715,1.88,0.165,-0.107188,0.437188,0.234775,0.084015
rules,random_compatibility,reward,3.3326,3.1719,-0.1607,-0.524482,0.203082,0.386586,-0.061223
rules,random_compatibility,invalid_actions,1.715,1.88,0.165,-0.107188,0.437188,0.234775,0.084015
rules,random_compatibility,final_energy,93.9771,137.3389,43.3618,41.581572,45.142028,0.0,3.37577
rules,random_compatibility,prediction_error,0.757505,0.740337,-0.017168,-0.093592,0.059256,0.659729,-0.031133
rules,random_compatibility,transfer_uses,5.28,24.985,19.705,18.789382,20.620618,0.0,2.982656
rules,random_compatibility,transfer_strength,17.692368,48.577302,30.884934,26.512706,35.257162,0.0,0.979005
rules,random_compatibility,transfer_precision,0.80008,0.874667,0.074587,0.032667,0.116506,0.000488,0.246595
rules,random_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,random_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,random_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,no_compatibility,first_task_success_tick,9.085,9.72,0.635,-0.451333,1.721333,0.251924,0.081012
rules,no_compatibility,task_completion_rate,0.75,0.69,-0.06,-0.150727,0.030727,0.19491,-0.091655
rules,no_compatibility,contradictions,1.705,1.745,0.04,-0.232919,0.312919,0.773909,0.020313
rules,no_compatibility,reward,3.34075,3.086,-0.25475,-0.626806,0.117306,0.179587,-0.094896
rules,no_compatibility,invalid_actions,1.705,1.745,0.04,-0.232919,0.312919,0.773909,0.020313
rules,no_compatibility,final_energy,93.96525,137.7345,43.76925,41.953736,45.584764,0.0,3.341263
rules,no_compatibility,prediction_error,0.761141,0.702369,-0.058772,-0.137329,0.019785,0.142552,-0.103687
rules,no_compatibility,transfer_uses,5.28,25.265,19.985,19.09118,20.87882,0.0,3.098813
rules,no_compatibility,transfer_strength,11.91528,18.423379,6.508099,4.472609,8.543589,0.0,0.443125
rules,no_compatibility,transfer_precision,0.797253,0.866111,0.068859,0.023489,0.114228,0.002932,0.210348
rules,no_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,no_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rules,no_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,hardcoded_compatibility,first_task_success_tick,8.845,10.18,1.335,0.372964,2.297036,0.006531,0.192323
hazard,hardcoded_compatibility,task_completion_rate,0.765,0.59,-0.175,-0.258869,-0.091131,4.3e-05,-0.289185
hazard,hardcoded_compatibility,contradictions,0.825,0.46,-0.365,-0.485468,-0.244532,0.0,-0.419914
hazard,hardcoded_compatibility,reward,5.44515,4.25555,-1.1896,-1.707758,-0.671442,7e-06,-0.318185
hazard,hardcoded_compatibility,invalid_actions,0.825,0.46,-0.365,-0.485468,-0.244532,0.0,-0.419914
hazard,hardcoded_compatibility,final_energy,99.97015,144.72055,44.7504,42.885376,46.615424,0.0,3.325474
hazard,hardcoded_compatibility,prediction_error,0.688437,0.466328,-0.222109,-0.288327,-0.155892,0.0,-0.464872
hazard,hardcoded_compatibility,transfer_uses,6.24,24.395,18.155,17.300419,19.009581,0.0,2.944313
hazard,hardcoded_compatibility,transfer_strength,25.074923,59.402116,34.327193,29.654718,38.999669,0.0,1.018198
hazard,hardcoded_compatibility,transfer_precision,0.880034,0.968839,0.088805,0.048656,0.128953,1.5e-05,0.306557
hazard,hardcoded_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,hardcoded_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,hardcoded_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,learned_compatibility,first_task_success_tick,8.845,10.285,1.44,0.465468,2.414532,0.003778,0.204789
hazard,learned_compatibility,task_completion_rate,0.765,0.57,-0.195,-0.281431,-0.108569,1e-05,-0.312683
hazard,learned_compatibility,contradictions,0.825,0.39,-0.435,-0.553367,-0.316633,0.0,-0.509331
hazard,learned_compatibility,reward,5.44515,4.19295,-1.2522,-1.786837,-0.717563,4e-06,-0.324605
hazard,learned_compatibility,invalid_actions,0.825,0.39,-0.435,-0.553367,-0.316633,0.0,-0.509331
hazard,learned_compatibility,final_energy,99.97015,144.53545,44.5653,42.781428,46.349172,0.0,3.462376
hazard,learned_compatibility,prediction_error,0.688437,0.440508,-0.247929,-0.314877,-0.180981,0.0,-0.513254
hazard,learned_compatibility,transfer_uses,6.24,23.94,17.7,16.907551,18.492449,0.0,3.095585
hazard,learned_compatibility,transfer_strength,24.847902,72.288048,47.440145,41.629892,53.250398,0.0,1.131598
hazard,learned_compatibility,transfer_precision,0.883891,0.974,0.090109,0.050247,0.129971,9e-06,0.313293
hazard,learned_compatibility,learned_table_size,0.0,3.485,3.485,3.38198,3.58802,0.0,4.688369
hazard,learned_compatibility,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
hazard,learned_compatibility,learned_mean_score,0.0,0.347117,0.347117,0.32762,0.366615,0.0,2.467407
hazard,learned_plus_hardcoded,first_task_success_tick,8.845,9.89,1.045,0.060549,2.029451,0.037475,0.147117
hazard,learned_plus_hardcoded,task_completion_rate,0.765,0.595,-0.17,-0.25464,-0.08536,8.3e-05,-0.278365
hazard,learned_plus_hardcoded,contradictions,0.825,0.425,-0.4,-0.517895,-0.282105,0.0,-0.470225
hazard,learned_plus_hardcoded,reward,5.44515,4.3546,-1.09055,-1.612765,-0.568335,4.3e-05,-0.289426
hazard,learned_plus_hardcoded,invalid_actions,0.825,0.425,-0.4,-0.517895,-0.282105,0.0,-0.470225
hazard,learned_plus_hardcoded,final_energy,99.97015,144.8411,44.87095,43.038853,46.703047,0.0,3.39436
hazard,learned_plus_hardcoded,prediction_error,0.688437,0.468433,-0.220003,-0.28809,-0.151917,0.0,-0.447826
hazard,learned_plus_hardcoded,transfer_uses,6.24,24.17,17.93,17.096528,18.763472,0.0,2.98147
hazard,learned_plus_hardcoded,transfer_strength,24.961413,66.400389,41.438976,36.186702,46.69125,0.0,1.09346
hazard,learned_plus_hardcoded,transfer_precision,0.883891,0.971667,0.087776,0.047813,0.127739,1.7e-05,0.304407
hazard,learned_plus_hardcoded,learned_table_size,0.0,3.46,3.46,3.357109,3.562891,0.0,4.660569
hazard,learned_plus_hardcoded,learned_total_observations,0.0,20.0,20.0,20.0,20.0,0.0,0.0
hazard,learned_plus_hardcoded,learned_mean_score,0.0,0.351631,0.351631,0.331717,0.371545,0.0,2.447227
hazard,random_compatibility,first_task_success_tick,8.845,10.855,2.01,1.035235,2.984765,5.3e-05,0.285784
hazard,random_compatibility,task_completion_rate,0.765,0.55,-0.215,-0.302739,-0.127261,2e-06,-0.339614
hazard,random_compatibility,contradictions,0.815,0.435,-0.38,-0.499165,-0.260835,0.0,-0.441951
hazard,random_compatibility,reward,5.41385,3.90725,-1.5066,-2.045032,-0.968168,0.0,-0.387801
hazard,random_compatibility,invalid_actions,0.815,0.435,-0.38,-0.499165,-0.260835,0.0,-0.441951
hazard,random_compatibility,final_energy,99.96885,143.67325,43.7044,42.02194,45.38686,0.0,3.600157
hazard,random_compatibility,prediction_error,0.683851,0.427478,-0.256373,-0.324609,-0.188138,0.0,-0.520721
hazard,random_compatibility,transfer_uses,6.235,23.885,17.65,16.825583,18.474417,0.0,2.967144
hazard,random_compatibility,transfer_strength,32.99565,92.621338,59.625687,52.47156,66.779815,0.0,1.155095
hazard,random_compatibility,transfer_precision,0.884845,0.971,0.086155,0.046435,0.125875,2.1e-05,0.300615
hazard,random_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,random_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,random_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,no_compatibility,first_task_success_tick,8.845,10.74,1.895,0.92765,2.86235,0.000123,0.271498
hazard,no_compatibility,task_completion_rate,0.765,0.55,-0.215,-0.300511,-0.129489,1e-06,-0.348465
hazard,no_compatibility,contradictions,0.825,0.435,-0.39,-0.511754,-0.268246,0.0,-0.44394
hazard,no_compatibility,reward,5.44515,3.98825,-1.4569,-1.984067,-0.929733,0.0,-0.383021
hazard,no_compatibility,invalid_actions,0.825,0.435,-0.39,-0.511754,-0.268246,0.0,-0.44394
hazard,no_compatibility,final_energy,99.97015,143.72625,43.7561,41.973903,45.538297,0.0,3.402702
hazard,no_compatibility,prediction_error,0.688437,0.434578,-0.253859,-0.321333,-0.186385,0.0,-0.52143
hazard,no_compatibility,transfer_uses,6.24,24.245,18.005,17.164725,18.845275,0.0,2.9697
hazard,no_compatibility,transfer_strength,24.701985,45.462798,20.760813,16.628945,24.892681,0.0,0.696368
hazard,no_compatibility,transfer_precision,0.880034,0.970157,0.090123,0.050034,0.130211,1.1e-05,0.311571
hazard,no_compatibility,learned_table_size,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,no_compatibility,learned_total_observations,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hazard,no_compatibility,learned_mean_score,0.0,0.0,0.0,0.0,0.0,1.0,0.0
